TeamID,Team,Region,Country,Track,Division,Size,Status,Year,Section,Medal,Finalist,Winner
1172,Bielefeld-Germany,Europe,Germany,Food & Energy,Collegiate,15,Accepted,2013,Overgrad,gold,1,1
1946,Bilkent-UNAMBG,Europe,Turkey,Diagnostics,Collegiate,8,Accepted,2016,Undergrad,silver,0,0
2234,Bilkent-UNAMBG,Europe,Turkey,Diagnostics,Collegiate,12,Accepted,2017,Undergrad,bronze,0,0
2759,Bilkent-UNAMBG,Europe,Turkey,Environment,Collegiate,15,Accepted,2018,Undergrad,silver,0,0
596,Bilkent_UNAM_Turkey,Europe,Turkey,Environment,Collegiate,8,Accepted,2011,IGEM,bronze,0,0
2133,BioBricks,North America,United States,Foundational Advance,Collegiate,7,Accepted,2016,Overgrad,bronze,0,0
2879,BioIQS-Barcelona,Europe,Spain,Diagnostics,Collegiate,15,Accepted,2018,Overgrad,bronze,0,0
2885,BioMarvel,Asia,"Korea, Republic Of",High School,High_school,17,Accepted,2018,High_school,silver,1,0
793,BioscienceDragons_AZ,North America,United States,,High_school,14,Accepted,2012,IGEM,blocked,0,0
978,BioscienceDragons_AZ,North America,United States,Food & Energy(P),High_school,26,Accepted,2013,High_school,blocked,0,0
1263,BioScience_Dragons_AZ,North America,United States,,High_school,6,Accepted,2014,IGEM,blocked,0,0
956,BIOSINT_Mexico,Latin America,Mexico,,Collegiate,19,Accepted,2012,IGEM,blocked,0,0
1130,BIOSINT_Mexico,Latin America,Mexico,Health & Medicine,Collegiate,11,Accepted,2013,Overgrad,bronze,0,0
1471,BIOSINT_Mexico,Latin America,Mexico,Environment,Collegiate,18,Accepted,2014,Undergrad,bronze,0,0
1684,BIOSINT_Mexico,Latin America,Mexico,Art & Design,Collegiate,16,Accepted,2015,Undergrad,gold,0,0
2004,BIOSINT_Mexico,Latin America,Mexico,Manufacturing,Collegiate,10,Accepted,2016,Undergrad,none,0,0
1265,Biotech_HS,North America,United States,,High_school,19,Accepted,2014,IGEM,blocked,0,0
260,BIOTEC_Dresden,Europe,Germany,Manufacturing,Collegiate,14,Accepted,2009,IGEM,silver,0,0
407,BIOTEC_Dresden,Europe,Germany,Health & Medicine,Collegiate,15,Accepted,2010,IGEM,gold,0,0
745,BioToga_NY,North America,United States,,High_school,6,Accepted,2012,IGEM,blocked,0,0
2860,Bio_Without_Borders,North America,United States,Diagnostics,Community_lab,13,Accepted,2018,Overgrad,bronze,0,0
1846,Birkbeck,Europe,United Kingdom,Health & Medicine,Collegiate,10,Accepted,2015,Overgrad,bronze,0,0
1058,BIT,Asia,China,Food & Energy,Collegiate,28,Accepted,2013,Undergrad,gold,0,0
1407,BIT,Asia,China,Measurement,Collegiate,32,Accepted,2014,Undergrad,silver,0,0
1651,BIT,Asia,China,Health & Medicine,Collegiate,22,Accepted,2015,Undergrad,gold,0,0
2041,BIT,Asia,China,Diagnostics,Collegiate,24,Accepted,2016,Undergrad,silver,0,0
2305,BIT,Asia,China,Diagnostics,Collegiate,35,Accepted,2017,Undergrad,gold,0,0
2708,BIT,Asia,China,Diagnostics,Collegiate,32,Accepted,2018,Undergrad,gold,0,0
1117,BIT-China,Asia,China,New Application,Collegiate,20,Accepted,2013,Undergrad,gold,0,0
1325,BIT-China,Asia,China,New Application,Collegiate,27,Accepted,2014,Overgrad,gold,0,0
1675,BIT-China,Asia,China,New Application,Collegiate,26,Accepted,2015,Undergrad,gold,0,0
2120,BIT-China,Asia,China,New Application,Collegiate,26,Accepted,2016,Undergrad,gold,0,0
2368,BIT-China,Asia,China,Food & Nutrition,Collegiate,26,Accepted,2017,Undergrad,silver,0,0
2765,BIT-China,Asia,China,New Application,Collegiate,28,Accepted,2018,Undergrad,gold,0,0
1044,Biwako_Nagahama,Asia,Japan,Environment,Collegiate,24,Accepted,2013,Undergrad,bronze,0,0
